Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED,From Line 6
1451,19-0925-EX1,Transfer from Capital/Operations - City Wide to Stephen K Hayt Elementary School,Funds Transfer From Award# 2020-488-00-05 To Project# 2020-23621-OPI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009507 N O&M Cip,000000 Default Value,23621 Stephen K Hayt Elementary School,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$63,800",,
1452,19-0925-EX1,Transfer from Capital/Operations - City Wide to Carl Schurz High School,Funds Transfer From Award# 2020-488-00-06 To Project# 2017-46281-UAF ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,46281 Carl Schurz High School,488 Series 2017H,56310 Capitalized Construction,320008 Playgrounds And Stadia,000000 Default Value,"$64,000",,
1453,19-0925-EX1,Transfer from Talent Office to Talent Office,"Please create a position number for job code 504680, Distributed Leadership Coordinator, ESP, A05, salary of $62K, effective 7/1.",11010 Talent Office,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,262005 Educator Effectiveness,"542133 Distributed Leadership In Opportunity School (Dlos)
Fy19",11010 Talent Office,"324 Miscellaneous Federal, State & Local Grants",51300 Regular Position Pointer,290001 General Salary S Bkt,"542133 Distributed Leadership In Opportunity School (Dlos)
Fy19","$65,000",,
1454,19-0925-EX1,Transfer from Department of Personalized Learning to Milton Brunson Math & Science Specialty ES,Final Disbursement for Elevate Cohort 1 Program - Based on successful completion of blueprint,10825 Department of Personalized Learning,115 General Education Fund,55005 Property - Equipment,119070 Personalized Learning Instruction,000000 Default Value,22491 Milton Brunson Math & Science Specialty ES,115 General Education Fund,55005 Property - Equipment,119070 Personalized Learning Instruction,000901 Other Gen Ed Funded Programs,"$67,000",,
1455,19-0925-EX1,Transfer from Education General - City Wide to Other Government Funded,Transfer funds for mass transfer for reloading of unused School-Year Bucket funds for FY19 IL-Empower grant.,12670 Education General - City Wide,367 Title I - Comprehensive School Reform,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,12694 Other Government Funded,367 Title I - Comprehensive School Reform,51130 Teacher Salaries - Extended Day,221011 Improvement Of Instruction,433137 Il-Empower (Cohort 19 - Grant 7) Fy19,"$67,791",,
1456,19-0925-EX1,Transfer from Capital/Operations - City Wide to Oscar DePriest Elementary School,Funds Transfer From Award# 2020-488-00-05 To Project# 2020-26631-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009507 N O&M Cip,000000 Default Value,26631 Oscar DePriest Elementary School,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$68,000",,
1457,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Christian Fenger Academy High School,Transfer for Transformative Justice Position,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,46111 Christian Fenger Academy High School,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000044 Ctu Sustainable Schools Initiative,"$68,250",,
1458,19-0925-EX1,Transfer from Capital/Operations - City Wide to National Teachers Elementary Academy,Funds Transfer From Award# 2020-488-00-04 To Project# 2020-32031-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009508 Ws O&M Cip,000000 Default Value,32031 National Teachers Elementary Academy,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$69,470",,
1459,19-0925-EX1,Transfer from Capital/Operations - City Wide to Wendell Smith Elementary School,Funds Transfer From Award# 2020-488-00-03 To Project# 2020-23641-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,23641 Wendell Smith Elementary School,488 Series 2017H,56310 Capitalized Construction,251392 Repairs & Improvements,000000 Default Value,"$69,562",,
1460,19-0925-EX1,Transfer from Capital/Operations - City Wide to Whitney M Young Magnet High School,Funds Transfer From Award# 2020-488-00-06 To Project# 2018-47101-MEP ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,47101 Whitney M Young Magnet High School,488 Series 2017H,54125 Services - Professional/Administrative,253508 Renovations,000000 Default Value,"$70,568",,
1461,19-0925-EX1,Transfer from Education General - City Wide to Other Government Funded,Transfer funds for mass transfer for reloading of unused School-Year Bucket funds for FY19 IL-Empower grant.,12670 Education General - City Wide,367 Title I - Comprehensive School Reform,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,12694 Other Government Funded,367 Title I - Comprehensive School Reform,51130 Teacher Salaries - Extended Day,119010 Other Instructional Programs,433136 Il-Empower (Cohort 19 - Grant 6) Fy19,"$71,319",,
1462,19-0925-EX1,Transfer from Capital/Operations - City Wide to Austin Multiplex,Funds Transfer From Award# 2020-488-00-10 To Project# 2020-66511-OBI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009506 Asset Management Repairs,000000 Default Value,66511 Austin Multiplex,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$71,715",,
1463,19-0925-EX1,Transfer from Pre-K - 12 Curriculum to Arts,To correct funding source on buckets 598570 and 598504 - Open new buckets,10814 Pre-K - 12 Curriculum,115 General Education Fund,52100 Career Service Salaries - Regular,419001 Payroll Salvage,000000 Default Value,10890 Arts,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$75,000",,
1464,19-0925-EX1,Transfer from Education General - City Wide to Talent Office,Transfer funding for the National Board Certification Initiatives.,12670 Education General - City Wide,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,11010 Talent Office,"324 Miscellaneous Federal, State & Local Grants",51320 Bucket Position Pointer,290001 General Salary S Bkt,036514 National Board Certification Initiatives,"$76,885",,
1465,19-0925-EX1,Transfer from Access and Enrollment to Access and Enrollment,Fund Art Director position for Marketing,11201 Access and Enrollment,115 General Education Fund,57940 Miscellaneous Charges,263004 Marketing,000000 Default Value,11201 Access and Enrollment,115 General Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$77,096",,
1466,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Uplift Community High School,Transfer for Recruitment & Youth Intervention Specialist Position and Music Teacher,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,26861 Uplift Community High School,115 General Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000044 Ctu Sustainable Schools Initiative,"$77,496",,
1467,19-0925-EX1,Transfer from Department of Personalized Learning to Jose De Diego Elementary Community Academy,Final Disbursement for Elevate Cohort 1 Program - Based on successful completion of blueprint,10825 Department of Personalized Learning,115 General Education Fund,55005 Property - Equipment,119070 Personalized Learning Instruction,000000 Default Value,31261 Jose De Diego Elementary Community Academy,115 General Education Fund,55005 Property - Equipment,119070 Personalized Learning Instruction,000901 Other Gen Ed Funded Programs,"$78,000",,
1468,19-0925-EX1,Transfer from Education General - City Wide to Office of Student Health & Wellness,Transfer funding to Office of Student Health & Wellness for the FY20 Healthy Chicago Public Schools-YRBS 262006 program.,12670 Education General - City Wide,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,221077 Cdc Hiv Prevention Pd,"580217 Healthy Chicago Public Schools-Hiv/Std Prevention
Initiative 221077 Fy20","$78,700",,
1469,19-0925-EX1,Transfer from Social and Emotional Learning - City Wide to Social and Emotional Learning - City Wide,"Aligning funds to approved grant budget, that is designated for hiring an SEL Specialist",10898 Social and Emotional Learning - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,113090 Grants-Citywide Misc Fndtns,070906 Together For Students Thrive Chicago,10898 Social and Emotional Learning - City Wide,124 School Special Income Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,070906 Together For Students Thrive Chicago,"$80,000",,
1470,19-0925-EX1,Transfer from Capital/Operations - City Wide to William C Reavis Math & Science Specialty ES,Funds Transfer From Award# 2020-488-00-06 To Project# 2019-25091-MEP ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,25091 William C Reavis Math & Science Specialty ES,488 Series 2017H,56310 Capitalized Construction,253508 Renovations,000000 Default Value,"$81,228",,
1471,19-0925-EX1,Transfer from Capital/Operations - City Wide to Sharon Christa McAuliffe Elementary School,Funds Transfer From Award# 2020-488-00-06 To Project# 2020-23551-OLP ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,23551 Sharon Christa McAuliffe Elementary School,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$81,800",,
1472,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to Office of Catholic Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69510 Office of Catholic Schools,353 Title II - Teacher Quality,54125 Services - Professional/Administrative,228958 Federal - Nonpublic Inst (Catholic),494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,"$82,500",,
1473,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Citywide Student Support and Engagement,Transfer for Non Instr. POs,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442191 21st Century Community Learning Centers - (Cohort
15-Grant 6) Fy20",10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,297920 Other Government Funded - Support Services,"442191 21st Century Community Learning Centers - (Cohort
15-Grant 6) Fy20","$83,977",,
1474,19-0925-EX1,Transfer from Capital/Operations - City Wide to Jesse Owens Elementary Community Academy,Funds Transfer From Award# 2020-488-00-03 To Project# 2020-23351-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,23351 Jesse Owens Elementary Community Academy,488 Series 2017H,56310 Capitalized Construction,251392 Repairs & Improvements,000000 Default Value,"$84,580",,
